# FinGuard Sample Transactions CSV
# Format: timestamp, transactionId, accountId, type, amount, location, deviceId
1772171745, FRD001_HV1, FRD001, DEBIT, 56000, Mumbai, DEV10
1772174839, TXN002156, ACC501, DEBIT, 20394.42, Jaipur, DEV13
1772173545, TXN002157, ACC601, DEBIT, 9266.18, Jaipur, DEV14
1772172105, TXN002158, ACC605, DEBIT, 10636.3, Ahmedabad, DEV13
1772173332, TXN002159, ACC505, DEBIT, 9819.84, Jaipur, DEV24
1772173696, TXN002160, ACC502, CREDIT, 10790.76, Jaipur, DEV25
1772173555, TXN002161, ACC603, CREDIT, 23964.4, Jaipur, DEV23
1772173026, TXN002162, ACC503, DEBIT, 5133.51, Mumbai, DEV14
1772175087, TXN002163, ACC604, DEBIT, 6540.06, Jaipur, DEV22
1772174683, TXN002164, ACC603, CREDIT, 29477.86, Hyderabad, DEV14
1772173654, TXN002165, ACC501, CREDIT, 27464.15, Kolkata, DEV21
1772174465, TXN002166, ACC602, CREDIT, 9257.84, Ahmedabad, DEV14
1772173074, TXN002167, ACC504, CREDIT, 7075.93, Chennai, DEV25
1772172802, TXN002168, ACC501, CREDIT, 20095.83, Chennai, DEV22
1772173206, TXN002169, ACC605, DEBIT, 502.34, Delhi, DEV22
1772174801, TXN002170, ACC501, DEBIT, 20578.96, Bangalore, DEV25
1772172452, TXN002171, ACC603, CREDIT, 15981, Chennai, DEV11
1772173158, TXN002172, ACC505, DEBIT, 19230.89, Jaipur, DEV21
1772174847, TXN002173, ACC604, DEBIT, 16932.03, Ahmedabad, DEV12
1772174017, TXN002174, ACC605, DEBIT, 26591.67, Mumbai, DEV25
1772174377, TXN002175, ACC501, CREDIT, 28257.41, Kolkata, DEV23
1772171952, TXN002176, ACC505, CREDIT, 6224.51, Bangalore, DEV22
1772174654, TXN002177, ACC502, DEBIT, 14521.4, Chennai, DEV23
1772174533, TXN002178, ACC604, CREDIT, 6648.34, Ahmedabad, DEV21
1772172459, TXN002179, ACC602, DEBIT, 8846.66, Jaipur, DEV22
1772173799, TXN002180, ACC504, DEBIT, 17757.04, Pune, DEV21
1772175222, TXN002181, ACC602, CREDIT, 23398.71, Jaipur, DEV25
1772173163, TXN002182, ACC503, DEBIT, 29811.75, Delhi, DEV21
1772172416, TXN002183, ACC604, DEBIT, 9760.11, Pune, DEV22
1772172187, TXN002184, ACC503, CREDIT, 30337.01, Chennai, DEV13
1772171893, TXN002185, ACC505, DEBIT, 13448.92, Delhi, DEV25
1772173612, TXN002186, ACC504, CREDIT, 17098.13, Jaipur, DEV23
1772173903, TXN002187, ACC604, DEBIT, 17100.56, Chennai, DEV25
1772171929, TXN002188, ACC602, DEBIT, 12909.88, Bangalore, DEV24
1772173845, TXN002189, ACC605, DEBIT, 4301.65, Bangalore, DEV13
1772172629, TXN002190, ACC602, CREDIT, 3044.59, Delhi, DEV24
1772173733, TXN002191, ACC505, DEBIT, 3515.03, Delhi, DEV22
1772172172, TXN002192, ACC505, CREDIT, 7621.81, Mumbai, DEV11
1772175152, TXN002193, ACC502, DEBIT, 26777.41, Delhi, DEV23
1772174491, TXN002194, ACC502, DEBIT, 2311.47, Lucknow, DEV23
1772172469, TXN002195, ACC503, DEBIT, 4483.02, Lucknow, DEV23
1772173044, TXN002196, ACC603, DEBIT, 18723.34, Mumbai, DEV12
1772172958, TXN002197, ACC504, CREDIT, 501.63, Kolkata, DEV11
1772172931, TXN002198, ACC505, DEBIT, 5877.5, Mumbai, DEV25
1772175213, TXN002199, ACC601, DEBIT, 20857.63, Hyderabad, DEV12
1772172067, TXN002200, ACC604, DEBIT, 25623.91, Delhi, DEV11
1772172204, TXN002201, ACC505, CREDIT, 6682.54, Lucknow, DEV25
1772172480, TXN002202, ACC603, DEBIT, 26466.26, Jaipur, DEV21
1772172666, TXN002203, ACC602, DEBIT, 25307.62, Hyderabad, DEV25
1772171846, TXN002204, ACC503, CREDIT, 29638.12, Jaipur, DEV23
1772174199, TXN002205, ACC501, DEBIT, 17807.77, Ahmedabad, DEV13
1772173218, TXN002206, ACC503, CREDIT, 9549.52, Lucknow, DEV23
1772171800, TXN002207, ACC505, CREDIT, 19947.06, Ahmedabad, DEV24
1772172992, TXN002208, ACC505, DEBIT, 11867.63, Delhi, DEV21
1772172494, TXN002209, ACC502, DEBIT, 6905.98, Chennai, DEV13
1772175254, TXN002210, ACC504, DEBIT, 19580.42, Ahmedabad, DEV25
1772173422, TXN002211, ACC604, DEBIT, 5263.41, Kolkata, DEV12
1772175104, TXN002212, ACC601, CREDIT, 30201.91, Ahmedabad, DEV11
1772171892, TXN002213, ACC503, DEBIT, 8333.24, Kolkata, DEV11
1772174684, TXN002214, ACC502, DEBIT, 30314.55, Mumbai, DEV13
1772172341, TXN002215, ACC501, CREDIT, 17594.11, Delhi, DEV22
1772173755, TXN002216, ACC501, DEBIT, 25691.26, Bangalore, DEV11
1772171897, TXN002217, ACC502, CREDIT, 15127.64, Chennai, DEV25
1772173998, TXN002218, ACC501, DEBIT, 25296.43, Bangalore, DEV13
1772174157, TXN002219, ACC604, DEBIT, 2700.31, Lucknow, DEV14
1772173642, TXN002220, ACC502, DEBIT, 758.1, Jaipur, DEV21
1772171678, TXN002221, ACC503, CREDIT, 26846.26, Ahmedabad, DEV11
1772174469, TXN002222, ACC605, DEBIT, 8206.65, Lucknow, DEV22
1772174897, TXN002223, ACC604, CREDIT, 712.41, Kolkata, DEV21
1772174462, TXN002224, ACC603, CREDIT, 28926.95, Jaipur, DEV13
1772173755, TXN002225, ACC502, CREDIT, 5180.23, Lucknow, DEV11
1772171787, TXN002226, ACC505, CREDIT, 10651.39, Mumbai, DEV13
1772174256, TXN002227, ACC505, CREDIT, 10701.31, Kolkata, DEV13
1772174843, TXN002228, ACC501, CREDIT, 8795.57, Pune, DEV23
1772173561, TXN002229, ACC605, CREDIT, 7891.7, Hyderabad, DEV23
1772172379, TXN002230, ACC602, CREDIT, 13540.19, Bangalore, DEV24
1772175159, TXN002231, ACC602, CREDIT, 19764.85, Chennai, DEV23
1772172220, TXN002232, ACC601, CREDIT, 6284, Lucknow, DEV12
1772173377, TXN002233, ACC505, DEBIT, 29991, Delhi, DEV14
1772172589, TXN002234, ACC604, CREDIT, 19022.84, Kolkata, DEV22
1772174128, TXN002235, ACC503, DEBIT, 9033.88, Pune, DEV24
1772171919, TXN002236, ACC605, DEBIT, 29539.83, Lucknow, DEV10
1772175157, TXN002237, ACC502, CREDIT, 753.53, Chennai, DEV10
1772172990, TXN002238, ACC504, DEBIT, 11413.27, Mumbai, DEV12
1772171896, TXN002239, ACC603, CREDIT, 22138.66, Bangalore, DEV12
1772174771, TXN002240, ACC504, DEBIT, 12534.47, Mumbai, DEV23
1772175146, TXN002241, ACC504, DEBIT, 29570.85, Chennai, DEV22
1772172645, TXN002242, ACC504, DEBIT, 10707.08, Mumbai, DEV12
1772173848, TXN002243, ACC503, DEBIT, 8949, Bangalore, DEV21
1772173583, TXN002244, ACC505, CREDIT, 13022.9, Lucknow, DEV13
1772171816, TXN002245, ACC603, DEBIT, 1021.98, Chennai, DEV11
1772174992, TXN002246, ACC503, DEBIT, 8580.64, Mumbai, DEV25
1772173855, TXN002247, ACC603, DEBIT, 28509.41, Delhi, DEV11
1772172672, TXN002248, ACC604, CREDIT, 10840.91, Bangalore, DEV24
1772173240, TXN002249, ACC504, DEBIT, 21123.22, Mumbai, DEV23
1772173375, TXN002250, ACC602, CREDIT, 10720.55, Kolkata, DEV25
1772173895, TXN002251, ACC501, DEBIT, 8660.57, Delhi, DEV10
1772172872, TXN002252, ACC602, CREDIT, 15739.91, Delhi, DEV10
1772171978, TXN002253, ACC505, DEBIT, 28429.71, Hyderabad, DEV25
1772172298, TXN002254, ACC502, CREDIT, 28202.51, Delhi, DEV10
1772175002, TXN002255, ACC502, DEBIT, 12964.5, Mumbai, DEV13
1772174364, TXN002256, ACC602, DEBIT, 28174.04, Delhi, DEV24
1772174457, TXN002257, ACC503, CREDIT, 1594.78, Kolkata, DEV25
1772172402, TXN002258, ACC505, CREDIT, 24243.63, Chennai, DEV21
1772172655, TXN002259, ACC505, CREDIT, 13439.51, Pune, DEV21
1772172455, TXN002260, ACC602, DEBIT, 4014.58, Chennai, DEV12
1772172604, TXN002261, ACC501, DEBIT, 10055.82, Delhi, DEV23
1772172861, TXN002262, ACC503, DEBIT, 24723.07, Lucknow, DEV14
1772172951, TXN002263, ACC503, CREDIT, 10320.31, Kolkata, DEV10
1772173699, TXN002264, ACC504, DEBIT, 703.58, Hyderabad, DEV12
1772174466, TXN002265, ACC502, CREDIT, 26606.57, Jaipur, DEV23
1772173815, TXN002266, ACC601, CREDIT, 16641.9, Mumbai, DEV14
1772174877, TXN002267, ACC505, DEBIT, 13429.03, Delhi, DEV10
1772174748, TXN002268, ACC603, DEBIT, 18181.52, Bangalore, DEV24
1772174706, TXN002269, ACC502, CREDIT, 24016.92, Jaipur, DEV25
1772173885, TXN002270, ACC501, CREDIT, 3266.15, Lucknow, DEV11
1772173415, TXN002271, ACC601, CREDIT, 20459.6, Pune, DEV10
1772174257, TXN002272, ACC605, DEBIT, 9753.6, Kolkata, DEV10
1772172222, TXN002273, ACC601, DEBIT, 7881.66, Delhi, DEV10
1772174283, TXN002274, ACC605, CREDIT, 15171.8, Lucknow, DEV12
1772171815, TXN002275, ACC602, CREDIT, 20201.15, Jaipur, DEV13
1772173641, TXN002276, ACC603, CREDIT, 20035.67, Kolkata, DEV10
1772174612, TXN002277, ACC603, DEBIT, 10094.63, Lucknow, DEV22
1772171945, TXN002278, ACC604, CREDIT, 4502.8, Lucknow, DEV21
1772174097, TXN002279, ACC601, DEBIT, 30117.07, Pune, DEV23
1772172199, TXN002280, ACC503, DEBIT, 8978.68, Pune, DEV11
1772174475, TXN002281, ACC505, DEBIT, 13296.54, Mumbai, DEV24
1772174403, TXN002282, ACC501, DEBIT, 17329.52, Lucknow, DEV14
1772172888, TXN002283, ACC502, DEBIT, 3271.05, Jaipur, DEV22
1772173585, TXN002284, ACC601, CREDIT, 8953.15, Ahmedabad, DEV23
1772175140, TXN002285, ACC604, CREDIT, 9489.81, Chennai, DEV21
1772175082, TXN002286, ACC603, CREDIT, 20978.82, Ahmedabad, DEV22
1772172549, TXN002287, ACC503, CREDIT, 23226.09, Chennai, DEV21
1772172198, TXN002288, ACC503, DEBIT, 9072.61, Chennai, DEV11
1772172152, TXN002289, ACC601, CREDIT, 15221.87, Mumbai, DEV22
1772173511, TXN002290, ACC501, CREDIT, 20993.58, Ahmedabad, DEV23
1772171909, TXN002291, ACC503, CREDIT, 16841.94, Delhi, DEV22
1772174469, TXN002292, ACC603, DEBIT, 28431.52, Bangalore, DEV11
1772174480, TXN002293, ACC501, CREDIT, 12454.66, Ahmedabad, DEV10
1772175163, TXN002294, ACC604, DEBIT, 12385.1, Hyderabad, DEV10
1772172414, TXN002295, ACC504, DEBIT, 24294.73, Delhi, DEV12
1772174835, TXN002296, ACC505, DEBIT, 16962.79, Chennai, DEV22
1772173828, TXN002297, ACC505, DEBIT, 20791.93, Ahmedabad, DEV23
1772175237, TXN002298, ACC605, CREDIT, 17744.21, Delhi, DEV11
1772174239, TXN002299, ACC601, CREDIT, 1799.56, Hyderabad, DEV14
1772172627, TXN002300, ACC501, DEBIT, 5222.81, Ahmedabad, DEV23
1772173198, TXN002301, ACC505, DEBIT, 27932.13, Pune, DEV14
1772173766, TXN002302, ACC502, DEBIT, 4391.37, Kolkata, DEV12
1772174092, TXN002303, ACC503, DEBIT, 13939.65, Hyderabad, DEV23
1772172515, TXN002304, ACC501, CREDIT, 18471.58, Kolkata, DEV21
1772172937, TXN002305, ACC505, DEBIT, 14162.87, Pune, DEV13
1772174402, TXN002306, ACC604, DEBIT, 26074.91, Lucknow, DEV21
1772171871, TXN002307, ACC505, CREDIT, 20351.96, Pune, DEV12
1772171730, TXN002308, ACC505, CREDIT, 18598.46, Delhi, DEV13
1772173630, TXN002309, ACC601, CREDIT, 13076.57, Lucknow, DEV13
1772173939, TXN002310, ACC604, DEBIT, 24528.2, Lucknow, DEV10
1772172631, TXN002311, ACC503, DEBIT, 17290.22, Jaipur, DEV10
1772172137, TXN002312, ACC502, CREDIT, 17834.9, Jaipur, DEV22
1772174389, TXN002313, ACC605, CREDIT, 2810.84, Hyderabad, DEV24
1772173450, TXN002314, ACC501, CREDIT, 25134.79, Ahmedabad, DEV10
1772173564, TXN002315, ACC505, CREDIT, 13906.31, Chennai, DEV21
1772175003, TXN002316, ACC501, CREDIT, 9096.93, Chennai, DEV24
1772174736, TXN002317, ACC605, DEBIT, 18834.69, Mumbai, DEV21
1772174266, TXN002318, ACC605, CREDIT, 16177.72, Jaipur, DEV13
1772175031, TXN002319, ACC603, CREDIT, 3292.28, Chennai, DEV24
1772171809, TXN002320, ACC503, CREDIT, 1562.1, Kolkata, DEV25
1772172491, TXN002321, ACC601, CREDIT, 19512.16, Delhi, DEV14
1772172454, TXN002322, ACC604, DEBIT, 18439.62, Mumbai, DEV11
1772171815, TXN002323, ACC605, DEBIT, 25897.58, Jaipur, DEV11
1772175127, TXN002324, ACC502, CREDIT, 5188.7, Jaipur, DEV24
1772171944, TXN002325, ACC501, CREDIT, 22710.08, Kolkata, DEV12
1772174371, TXN002326, ACC604, DEBIT, 18987.73, Chennai, DEV25
1772173196, TXN002327, ACC503, DEBIT, 21689.89, Delhi, DEV12
1772173448, TXN002328, ACC603, CREDIT, 17328.82, Ahmedabad, DEV23
1772172440, TXN002329, ACC604, DEBIT, 12058.27, Lucknow, DEV22
1772172332, TXN002330, ACC505, DEBIT, 19344.27, Lucknow, DEV10
1772172049, TXN002331, ACC605, DEBIT, 4529.97, Mumbai, DEV12
1772172532, TXN002332, ACC501, CREDIT, 1113.36, Pune, DEV12
1772174005, TXN002333, ACC603, DEBIT, 27375.12, Mumbai, DEV11
1772173053, TXN002334, ACC504, DEBIT, 28983.2, Bangalore, DEV25
1772174620, TXN002335, ACC501, CREDIT, 26926.84, Jaipur, DEV25
1772174167, TXN002336, ACC505, DEBIT, 5477.57, Lucknow, DEV21
